size_ratio = 1.0, succ rate=0.4
size_ratio = 1.1, succ rate=0.5
size_ratio = 1.2, succ rate=0.5
size_ratio = 1.3, succ rate=0.6
size_ratio = 1.4, succ rate=0.6
size_ratio = 1.5, succ rate=0.4
size_ratio = 1.6, succ rate=0.45
size_ratio = 1.7000000000000002, succ rate=0.45
size_ratio = 1.8, succ rate=0.6
size_ratio = 1.9, succ rate=0.55
size_ratio = 2.0, succ rate=0.75
size_ratio = 2.1, succ rate=0.6
size_ratio = 2.2, succ rate=0.8
size_ratio = 2.3, succ rate=0.6
size_ratio = 2.4000000000000004, succ rate=0.75
size_ratio = 2.5, succ rate=0.7
