density_ratio = 1.0, succ rate=1.0
density_ratio = 1.1, succ rate=0.8
density_ratio = 1.2, succ rate=0.7
density_ratio = 1.3, succ rate=0.6
density_ratio = 1.4, succ rate=0.65
density_ratio = 1.5, succ rate=0.85
density_ratio = 1.6, succ rate=0.45
density_ratio = 1.7, succ rate=0.4
density_ratio = 1.8, succ rate=0.4
density_ratio = 1.9, succ rate=0.45
density_ratio = 2.0, succ rate=0.4
density_ratio = 2.1, succ rate=0.1
density_ratio = 2.2, succ rate=0.2
density_ratio = 2.3, succ rate=0.2
density_ratio = 2.4, succ rate=0.05
density_ratio = 2.5, succ rate=0.05




